frase,risco
"TÍTULO: 3 mudanças simples no seu dia a dia podem reduzir o risco de ataque cardíaco
FONTE: ZAP
DATA: 2026-03-30T22:30:48Z
LINK: https://zap.aeiou.pt/3-mudancas-simples-no-seu-dia-a-dia-podem-reduzir-o-risco-de-ataque-cardiaco-734667

RESUMO:
São vários os fatores que influenciam o risco de um ataque cardíaco, AVC ou insuficiência cardíaca, e muitos deles envolvem escolhas de estilo de vida sobre as quais podemos fazer algo. Sono, alimentação e atividade física – é aqui que está o segredo segundo confirmou um grande estudo publicado na semana passada na European Journal of Preventive Cardiology. Liderados por uma equipa da Universidade de Sydney, os investigadores por detrás do estudo quiseram analisar como estes três fatores, em conjunto, afetam a saúde cardiovascular. Com base numa análise de 53.242 participantes com uma idade média de 63 anos, os dados",baixo risco
"TÍTULO: Apenas 15 minutos poderão reduzir o risco de ataque cardíaco, diz estudo
FONTE: Notícias ao Minuto
DATA: 2026-03-25T20:14:58Z
LINK: https://www.noticiasaominuto.com/lifestyle/2962150/apenas-15-minutos-poderao-reduzir-o-risco-de-ataque-cardiaco-diz-estudo

RESUMO:
Um estudo apurou que 11 minutos extra de sono, assim como 5 minutos a mais de exercício físico por dia poderão ter um impacto significativo na prevenção de ataques cardíacos.",baixo risco
"TÍTULO: Cantor e compositor Alvin L morre aos 67 anos, no Rio
FONTE: A Tribuna
DATA: 2026-04-06T13:12:00Z
LINK: https://tribunaonline.com.br/entretenimento/cantor-e-compositor-alvin-l-morre-aos-67-anos-no-rio-298226

RESUMO:
O compositor, guitarrista e cantor Alvin L morreu nesse domingo 5, no Rio de Janeiro, aos 67 anos. Conhecido por assinar canções marcantes da música brasileira, o artista teve a morte causada por um ataque cardíaco enquanto dormia, poucos dias após comple",baixo risco
"TÍTULO: Depois de ataque cardíaco, Lucescu colocado em coma induzido
FONTE: A Bola
DATA: 2026-04-05T15:46:00Z
LINK: https://www.abola.pt/noticias/depois-de-ataque-cardiaco-lucescu-colocado-em-coma-induzido-2026040515225079769

RESUMO:
Estado de saúde do romeno, de 80 anos, agravou-se nas últimas horas. Treinador continua nos cuidados intensivos do Hospital Universitário de Bucareste Continue a ler.",baixo risco
"TÍTULO: Mircea Lucescu, mítico treinador romeno, morreu aos 80 anos
FONTE: Jornal de Notícias
DATA: 2026-04-07T18:16:00Z
LINK: https://www.jn.pt/desporto/artigo/mircea-lucescu-mitico-treinador-romeno-morreu-aos-80-anos/18070584

RESUMO:
Mircea Lucescu, lendário treinador romeno que foi transferido há dias para os cuidados intensivos do Hospital de Bucareste, após ter sofrido um ataque cardíaco, morreu esta terça-feira, aos 80 anos.",baixo risco
"TÍTULO: Morre Alvin L, compositor de 'Não Sei Dançar', aos 67 anos
FONTE: UOL
DATA: 2026-04-06T04:30:05Z
LINK: https://www.uol.com.br/splash/noticias/2026/04/06/morre-alvin-l-compositor-de-nao-sei-dancar-aos-67-anos-no-rio.ghtm

RESUMO:
Alvin L morreu aos 67 anos no Rio, vítima de ataque cardíaco. Parceiro de Marina Lima e do Capital Inicial, ele será velado e cremado nesta segunda.",baixo risco
"TÍTULO: Morre Mircea Lucescu, o terceiro técnico mais vitorioso da história, aos 80 anos
FONTE: O Tempo
DATA: 2026-04-07T20:18:23Z
LINK: https://www.otempo.com.br/sports/futebol-internacional/2026/4/7/morre-mircea-lucescu-o-terceiro-tecnico-mais-vitorioso-da-historia-aos-80-anos

RESUMO:
A causa da morte foi um ataque cardíaco, após complicações",baixo risco
"TÍTULO: Morre, aos 67, Alvin L, autor de canções de Marina Lima e Capital Inicial
FONTE: Estado de Minas
DATA: 2026-04-06T11:20:44Z
LINK: https://www.em.com.br/cultura/2026/04/7391216-morre-aos-67-alvin-l-autor-de-cancoes-de-marina-lima-e-capital-inicial.html

RESUMO:
Músico sofreu um ataque cardíaco no domingo de Páscoa",baixo risco
"TÍTULO: Nova injeção pode ajudar o coração a curar-se após um ataque cardíaco
FONTE: ZAP
DATA: 2026-04-01T12:30:00Z
LINK: https://zap.aeiou.pt/injecao-ajudar-coracao-curar-ataque-cardiaco-734849

RESUMO:
A injeção ordena instruções genéticas que estimulam as células musculares a produzir um precursor do peptídeo natriurético atrial (ANP)",baixo risco
"TÍTULO: O gesto de Mourinho que marcou Bove após o ataque cardíaco
FONTE: A Bola
DATA: 2026-04-06T10:26:00Z
LINK: https://www.abola.pt/noticias/o-gesto-de-mourinho-que-marcou-bove-apos-o-ataque-cardiaco-2026040609534279253

RESUMO:
Português treinou o jogador na Roma em três temporadas Continue a ler.",baixo risco
"TÍTULO: Ricardo Costa e o caso do balneário do Dragão: ""A médica perguntou-me se eu queria ter um ataque cardíaco""
FONTE: Jornal de Notícias
DATA: 2026-04-02T21:25:00Z
LINK: https://www.jn.pt/desporto/artigo/ricardo-costa-e-o-caso-do-balneario-do-dragao-a-medica-perguntou-me-se-eu-queria-ter-um-ataque-cardiaco/18069145

RESUMO:
O treinador de andebol do Sporting, Ricardo Costa, comentou, esta quinta-feira, o polémico jogo com o F. C. Porto, do passado fim de semana, no qual os leões se queixaram de um cheiro intenso no balneário do Dragão Arena. O técnico não aceita que a sua integridade seja posta em causa e garante que a médica que o assistiu, na ambulância, o alertou para a possibilidade de sofrer um ataque cardíaco, uma vez que estava com as tensões a 17-10.",baixo risco
"TÍTULO: Terceiro técnico com mais títulos na história morre de ataque cardíaco
FONTE: A Tarde
DATA: 2026-04-08T18:15:39Z
LINK: https://atarde.com.br/esportes/terceiro-tecnico-com-mais-titulos-na-historia-morre-de-ataque-cardiaco-1385302

RESUMO:
Morreu Mircea Lucescu, um dos maiores treinadores do futebol. Descubra seu legado e conquistas que marcaram a história do esporte.",baixo risco
"TÍTULO: Treinador histórico de clube europeu sofre ataque cardíaco em hospital
FONTE: CNN Brasil
DATA: 2026-04-03T18:00:57Z
LINK: https://www.cnnbrasil.com.br/esportes/futebol/futebol-internacional/treinador-historico-de-clube-europeu-sofre-ataque-cardiaco-em-hospital/

RESUMO:
Mircea Lucescu, ídolo do Shakhtar Donetsk, passou mal momentos antes de ter alta de um hospital em Bucareste",baixo risco
"TÍTULO: Vacina contra a gripe pode proteger contra infarto e AVC, mostra estudo; entenda como
FONTE: Folha De Pernambuco
DATA: 2026-04-06T15:15:00Z
LINK: https://www.folhape.com.br/noticias/vacina-contra-a-gripe-pode-proteger-contra-infarto-e-avc-mostra/478664/

RESUMO:
A vacinação contra a gripe pode reduzir significativamente o risco de ataque cardíaco e acidente vascular cerebral (AVC) associados à gripe, mesmo entre pes...",baixo risco
